dataset_id,predictor,baseline,reduced_collinear_v1,delta_ratio,abs_delta_ratio
1001,climate,0.5304347826086956,0.5969863013698631,0.0665515187611675,0.0665515187611675
1001,human,0.47043478260869565,0.4019178082191781,-0.06851697438951754,0.06851697438951754
1002,climate,0.8346268656716418,0.8080246913580247,-0.02660217431361711,0.02660217431361711
1002,human,0.16537313432835818,0.19279835390946504,0.027425219581106858,0.027425219581106858
1003,climate,0.9214285714285714,0.9708812260536399,0.04945265462506854,0.04945265462506854
1003,human,0.08027210884353742,0.027586206896551724,-0.05268590194698569,0.05268590194698569
1006,climate,1.079277566539924,1.092093023255814,0.012815456715890017,0.012815456715890017
1006,human,-0.07889733840304182,-0.09302325581395349,-0.014125917410911668,0.014125917410911668
1010,climate,0.5469740634005764,0.4810810810810811,-0.06589298231949531,0.06589298231949531
1010,human,0.4538904899135447,0.5206081081081081,0.0667176181945634,0.0667176181945634
1013,climate,0.5469453376205787,0.5510769230769231,0.0041315854563444,0.0041315854563444
1013,human,0.45176848874598075,0.448,-0.003768488745980736,0.003768488745980736
1024,climate,0.7411242603550295,0.7589060308555401,0.017781770500510552,0.017781770500510552
1024,human,0.2596153846153846,0.24039270687237027,-0.01922267774301431,0.01922267774301431
1028,climate,0.9014285714285714,0.8930693069306931,-0.008359264497878272,0.008359264497878272
1028,human,0.09816326530612245,0.10752475247524752,0.009361487169125077,0.009361487169125077
1030,climate,0.9692307692307692,0.8344999999999999,-0.13473076923076932,0.13473076923076932
1030,human,0.031196581196581197,0.16474999999999998,0.13355341880341878,0.13355341880341878
1104,climate,0.9601744186046511,0.9429460580912864,-0.017228360513364738,0.017228360513364738
1104,human,0.040697674418604654,0.0570539419087137,0.016356267490109044,0.016356267490109044
1105,climate,0.6375601926163724,0.6354671280276817,-0.0020930645886907406,0.0020930645886907406
1105,human,0.361637239165329,0.3636678200692042,0.0020305809038751454,0.0020305809038751454
1107,climate,1.1483050847457628,1.1109375,-0.03736758474576285,0.03736758474576285
1107,human,-0.1497175141242938,-0.11041666666666666,0.03930084745762713,0.03930084745762713
1142,climate,0.6052109181141438,0.5284023668639054,-0.07680855125023844,0.07680855125023844
1142,human,0.39602977667493794,0.47218934911242605,0.07615957243748811,0.07615957243748811
1148,climate,0.7492341356673959,0.6284501061571125,-0.12078402951028344,0.12078402951028344
1148,human,0.250109409190372,0.37112526539278134,0.12101585620240934,0.12101585620240934
1149,climate,0.622972972972973,0.6349761526232114,0.012003179650238338,0.012003179650238338
1149,human,0.3775337837837838,0.36486486486486486,-0.01266891891891897,0.01266891891891897
1152,climate,0.8621621621621621,0.771969696969697,-0.09019246519246515,0.09019246519246515
1152,human,0.13693693693693693,0.22702020202020198,0.09008326508326506,0.09008326508326506
1153,climate,0.7625448028673835,0.801953125,0.03940832213261658,0.03940832213261658
1153,human,0.23781362007168458,0.1984375,-0.03937612007168459,0.03937612007168459
1154,climate,0.658974358974359,0.5612565445026179,-0.0977178144717411,0.0977178144717411
1154,human,0.3408119658119658,0.43926701570680626,0.09845504989484044,0.09845504989484044
1157,climate,0.9797250859106531,0.937864077669903,-0.04186100824075012,0.04186100824075012
1157,human,0.019587628865979385,0.06213592233009709,0.042548293464117704,0.042548293464117704
1160,climate,0.713235294117647,0.6651252408477842,-0.04811005326986273,0.04811005326986273
1160,human,0.28617647058823525,0.3350674373795761,0.04889096679134086,0.04889096679134086
12,climate,0.6709016393442624,0.7216965742251223,0.050794934880859954,0.050794934880859954
12,human,0.3284836065573771,0.2787928221859706,-0.04969078437140645,0.04969078437140645
13051,climate,0.9879432624113477,0.8972515856236787,-0.09069167678766898,0.09069167678766898
